arm,block,block_rank,rank_in_subtype,gene,model_score,target_class,druggability,small_molecule_tractable,antibody_tractable,some_drug_already_hits_this_gene,documented_safety_liability,liability_detail,why_the_model_ranked_it,REVIEW_plausible_1to5,REVIEW_already_known_to_you,REVIEW_worth_pursuing,REVIEW_comment
HER2-positive,A. known target - sanity anchor,3,3,PIK3R1,0.9958,Enzyme,Enzyme,True,True,False,True,hyperglycemia|leukopenia,"ppi_adamic_adar (+1.27), dwpc_GBGD (+1.15)",,,,
HER2-positive,A. known target - sanity anchor,4,4,JAK2,0.9955,Enzyme,Enzyme,True,True,True,True,heart disease|regulation of catalytic activity,"dwpc_GBGD (+1.47), ppi_multi_source_frac (+1.10)",,,,
HER2-positive,A. known target - sanity anchor,5,5,KRAS,0.9952,Enzyme,Enzyme,True,True,True,False,,"ppi_adamic_adar (+1.07), ppi_common_neighbors_z (+0.87)",,,,
HER2-positive,A. known target - sanity anchor,6,6,CREBBP,0.9947,Epigenetic regulator,Epigenetic regulator,True,False,False,False,,"ppi_multi_source_frac (+1.32), ppi_adamic_adar (+1.24)",,,,
HER2-positive,A. known target - sanity anchor,7,7,PIK3CA,0.9945,Enzyme,Enzyme,True,True,True,True,No significant results|drug toxicity|heart disease|regulation of catalytic activity,"dwpc_GBGD (+1.15), ppi_multi_source_frac (+1.02)",,,,
HER2-positive,A. known target - sanity anchor,8,8,SMAD3,0.9943,Transcription factor,Transcription factor,True,True,False,False,,"ppi_adamic_adar (+1.49), dwpc_GBGD (+1.42)",,,,
HER2-positive,A. known target - sanity anchor,9,10,AKT1,0.9939,Enzyme,Enzyme,True,True,False,True,apoptototic cell death in cancer cells|heart disease|hyperglycemia|regulation of catalytic activity,"dwpc_GBGD (+1.50), ppi_adamic_adar (+1.41)",,,,
HER2-positive,A. known target - sanity anchor,10,11,CTNNB1,0.9938,Unclassified protein,Unclassified protein,True,True,False,True,"neutropenia|response to cyclophosphamide, dexamethasone, and thalidomide|response to thalidomide","dwpc_GBGD (+1.52), ppi_adamic_adar (+1.26)",,,,
HER2-positive,B. NOVEL candidate - please assess,1,9,HRAS,0.9943,Other cytosolic protein,Other cytosolic protein,True,True,False,False,,"dwpc_GBGD (+1.24), ppi_adamic_adar (+1.13)",,,,
HER2-positive,B. NOVEL candidate - please assess,2,25,NRAS,0.9905,Enzyme,Enzyme,True,True,False,False,,"ppi_adamic_adar (+1.26), ppi_multi_source_frac (+1.10)",,,,
HER2-positive,B. NOVEL candidate - please assess,3,42,STAT1,0.9878,Transcription factor,Transcription factor,True,False,False,False,,"ppi_adamic_adar (+1.22), ppi_multi_source_frac (+1.06)",,,,
HER2-positive,B. NOVEL candidate - please assess,4,49,SMARCA2,0.9866,Epigenetic regulator,Epigenetic regulator,True,False,False,False,,"ppi_adamic_adar (+1.26), dwpc_GBGD (+1.19)",,,,
HER2-positive,B. NOVEL candidate - please assess,5,58,MAPK3,0.9849,Enzyme,Enzyme,True,True,False,True,heart disease|regulation of catalytic activity,"dwpc_GBGD (+1.46), ppi_adamic_adar (+1.31)",,,,
HER2-positive,B. NOVEL candidate - please assess,6,61,PTPN6,0.9837,Enzyme,Enzyme,True,True,False,True,regulation of catalytic activity,"ppi_adamic_adar (+1.27), dwpc_GBGD (+1.10)",,,,
HER2-positive,B. NOVEL candidate - please assess,7,73,ZAP70,0.9803,Enzyme,Enzyme,True,True,False,True,cardiac arrhythmia|regulation of catalytic activity,"ppi_multi_source_frac (+1.23), ppi_adamic_adar (+1.04)",,,,
HER2-positive,B. NOVEL candidate - please assess,8,74,IRS1,0.9802,Unclassified protein,Unclassified protein,True,True,False,True,neutropenia,"ppi_adamic_adar (+1.12), ppi_multi_source_frac (+0.89)",,,,
HER2-positive,B. NOVEL candidate - please assess,9,75,IRS2,0.9802,,intracellular,False,True,False,False,,"dwpc_GBGD (+1.05), ppi_multi_source_frac (+0.99)",,,,
HER2-positive,B. NOVEL candidate - please assess,10,78,EGR1,0.9796,Transcription factor,Transcription factor,False,False,False,True,regulation of transcription factor activity,"ppi_adamic_adar (+1.06), ppi_multi_source_frac (+0.74)",,,,
HER2-positive,B. NOVEL candidate - please assess,11,88,HDAC3,0.9782,Epigenetic regulator,Epigenetic regulator,True,True,True,True,regulation of catalytic activity,"ppi_adamic_adar (+1.18), dwpc_GBGD (+0.92)",,,,
HER2-positive,B. NOVEL candidate - please assess,12,89,SMARCD2,0.9782,Unclassified protein,Unclassified protein,False,False,False,False,,"dwpc_GBGD (+1.11), ppi_adamic_adar (+0.95)",,,,
HER2-positive,B. NOVEL candidate - please assess,13,90,MRE11,0.9779,Enzyme,Enzyme,True,False,False,False,,"dwpc_GBGD (+1.21), ppi_multi_source_frac (+0.88)",,,,
HER2-positive,B. NOVEL candidate - please assess,14,93,PLCG2,0.9771,Enzyme,Enzyme,True,True,False,False,,"dwpc_GBGD (+1.11), ppi_adamic_adar (+1.03)",,,,
HER2-positive,B. NOVEL candidate - please assess,15,98,PDPK1,0.9761,Enzyme,Enzyme,True,True,False,True,heart disease,"ppi_adamic_adar (+1.17), dwpc_GBGD (+1.08)",,,,
HER2-positive,B. NOVEL candidate - please assess,16,101,GSK3A,0.9757,Enzyme,Enzyme,True,False,True,True,heart disease,"ppi_adamic_adar (+1.07), ppi_evidence_depth (+0.92)",,,,
HER2-positive,B. NOVEL candidate - please assess,17,104,JUN,0.9755,Transcription factor,Transcription factor,True,False,False,True,regulation of transcription factor activity,"gene_ppi_degree (-1.31), dwpc_GBGD (+1.08)",,,,
HER2-positive,B. NOVEL candidate - please assess,18,105,CRKL,0.9748,Unclassified protein,Unclassified protein,False,False,False,False,,"ppi_adamic_adar (+1.16), ppi_multi_source_frac (+0.95)",,,,
