model,disease_index,auc_assoc,n_assoc,auc_drug,n_drug,hits_at_50
m1   7 features,45398,0.9026849315068494,40,,,
m1   7 features,45422,0.9021573688041824,18,,,
m1   7 features,45436,0.80147354200196,61,,,
m1   7 features,45451,0.8836470588235295,22,,,
m1   7 features,45485,0.8936306901615272,48,,,
m1   7 features,45531,0.8526203400207566,67,,,
m1   7 features,45674,0.8622022419430173,40,,,
m1   7 features,45732,0.8935888501742161,25,,,
m1   7 features,45754,0.6256197675363733,9,,,
m1   7 features,45776,0.8380234546393083,42,,,
m1   7 features,45794,0.5834472389283761,10,,,
m1   7 features,45834,0.8368030198615554,19,,,
m1   7 features,45864,0.5663109360015496,37,0.5532395344797638,1.0,0.0
m1   7 features,45912,0.7291173974010328,99,,,
m1   7 features,45914,0.5781698025615117,11,,,
m1   7 features,45933,0.7958444247264123,64,0.667130715123095,2.0,0.0
m1   7 features,45954,0.8303978450062163,24,,,
m1   7 features,45973,0.6887704738546276,2967,,,
m1   7 features,45990,0.8927725144920099,253,,,
m1   7 features,46013,0.802806591405752,73,,,
m1   7 features,46033,0.662751437716308,83,,,
m1   7 features,46072,0.8795581141383186,381,,,
m1   7 features,46087,0.8805305117288589,18,,,
m1   7 features,46121,0.9427697684578419,21,0.6619312537254123,2.0,0.0
m1   7 features,46222,0.8918062548610258,255,,,
m1   7 features,46370,0.6674284681334572,12,0.5514533085961657,5.0,0.0
m1   7 features,46454,0.9140402265182581,15,,,
m1   7 features,46535,0.9068982035928144,25,0.932061978545888,1.0,0.0
m1   7 features,46540,0.8857241851456051,80,,,
m1   7 features,46574,0.9205744656356729,23,,,
m1   7 features,46584,0.8968046951418324,57,,,
m1   7 features,46652,0.5461421967160848,18,,,
m1   7 features,46664,0.6997164130624891,18,,,
m1   7 features,46673,0.8955155410041582,544,,,
m1   7 features,46674,0.5655765115034778,24,0.5562395488376668,28.0,0.0
m1   7 features,46690,0.6835217882214332,115,,,
m1   7 features,46771,0.49382000772499035,3,,,
m1   7 features,46862,0.5674866933241532,11,,,
m1   7 features,46878,0.8971805879469392,59,,,
m1   7 features,46879,0.5130404666057643,23,,,
m1   7 features,46895,0.461247862902683,44,,,
m1   7 features,46926,0.7827793577438085,12,,,
m1   7 features,46932,0.8913918867039201,70,0.8882244807403807,7.0,2.0
m1   7 features,46938,0.8946214626364679,140,,,
m1   7 features,46939,0.7998214672148886,40,,,
m1   7 features,46944,0.8393085323304182,29,,,
m1   7 features,46953,0.887825134090778,49,0.3504950495049505,1.0,0.0
m1   7 features,46969,0.6054085155350978,10,,,
m1   7 features,47009,0.8631002856377756,34,,,
m1   7 features,47010,0.8596433430337195,33,,,
m1   7 features,47013,0.8586535516795274,272,,,
